rk,player,nation,pos,squad,age,born,90s,cmp,att,cmp_total,totdist,prgdist,cmp_short,att_short,cmp_medium,att_medium,cmp_long,att_long,ast,a_xag,kp,1_3,ppa,crspa,matches
190,Deniz Dilmen,,GK,Başakşehir,17,2005,1.0,,,,,,,,,,,,0,,,,,,Matches
191,Djaniny,cv CPV,"MF,FW",Trabzonspor,31,1991,8.6,,,,,,,,,,,,2,,,,,,Matches
192,Papy Djilobodji,sn SEN,DF,Gaziantep FK,33,1988,18.1,,,,,,,,,,,,1,,,,,,Matches
193,Papy Djilobodji,sn SEN,DF,Kasımpaşa,33,1988,10.0,,,,,,,,,,,,0,,,,,,Matches
194,Ryan Donk,sr SUR,DF,Kasımpaşa,36,1986,19.0,,,,,,,,,,,,1,,,,,,Matches
195,Idrissa Doumbia,ci CIV,MF,Alanyaspor,24,1998,16.0,,,,,,,,,,,,1,,,,,,Matches
196,Ibrahim Drešević,xk KVX,DF,Fatih Karagümrük,25,1997,32.0,,,,,,,,,,,,0,,,,,,Matches
197,Léo Duarte,br BRA,DF,Başakşehir,26,1996,27.9,,,,,,,,,,,,1,,,,,,Matches
198,Leo Dubois,fr FRA,DF,Galatasaray,27,1994,11.0,,,,,,,,,,,,1,,,,,,Matches
199,Jeremy Dudziak,tn TUN,MF,Hatayspor,26,1995,1.0,,,,,,,,,,,,0,,,,,,Matches
200,Tuncer Duhan Aksu,,DF,İstanbulspor,24,1997,23.6,,,,,,,,,,,,0,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp,Att,Cmp,Att,Ast,A-xAG,KP,1/3,PPA,CrsPA,Matches
201,Demeaco Duhaney,eng ENG,DF,İstanbulspor,23,1998,17.9,,,,,,,,,,,,0,,,,,,Matches
202,Abdullah Durak,tr TUR,MF,Ankaragücü,35,1987,2.0,,,,,,,,,,,,0,,,,,,Matches
203,Jimmy Durmaz,se SWE,MF,Fatih Karagümrük,33,1989,10.7,,,,,,,,,,,,0,,,,,,Matches
204,Abdurrahim Dursun,tr TUR,DF,Adana Demirspor,23,1998,3.6,,,,,,,,,,,,1,,,,,,Matches
205,Salih Dursun,tr TUR,DF,Fatih Karagümrük,31,1991,9.7,,,,,,,,,,,,1,,,,,,Matches
206,Serdar Dursun,tr TUR,FW,Fenerbahçe,30,1991,4.0,,,,,,,,,,,,3,,,,,,Matches
