rk,player,nation,pos,squad,age,born,90s,crdy,crdr,2crdy,fls,fld,off,crs,int,tklw,pkwon,pkcon,og,matches
136,Hussain Al Essa,sa KSA,MF,Al-Wehda,23,2000,1.8,1,0,0,4,6,1,5,2,6,,,0,Matches
137,Fabinho,br BRA,MF,Al-Ittihad,30,1993,31.8,8,0,0,42,32,0,9,39,44,,,0,Matches
138,Muath Fagihy,sa KSA,DF,Al-Ittihad,22,2002,2.8,1,0,0,5,6,1,12,9,3,,,0,Matches
139,Abdullah Al-Fahad,sa KSA,DF,Al-Khaleej,30,1994,15.4,3,0,0,8,12,1,2,33,17,,,0,Matches
140,Sultan Fahran,sa KSA,MF,Al-Taawoun,27,1996,7.3,1,0,0,10,6,0,0,6,14,,,0,Matches
141,Fayçal Fajr,ma MAR,MF,Al-Taawoun,35,1988,25.2,4,0,0,32,34,0,170,17,30,,,0,Matches
142,Ayman Fallatah,sa KSA,MF,Damac,20,2003,14.1,4,0,0,17,8,0,2,20,27,,,0,Matches
143,Mohammed Fallatah,sa KSA,MF,Al-Ittihad,17,2007,0.1,1,0,0,1,0,0,0,2,0,,,0,Matches
144,Sultan Faqihi,sa KSA,DF,Damac,29,1995,0.7,0,0,0,1,0,0,2,1,0,,,0,Matches
145,Mohammed Al Fatil,sa KSA,DF,Al-Nassr,32,1992,9.6,1,1,0,14,3,0,1,16,12,,,1,Matches
146,Luiz Felipe,it ITA,DF,Al-Ittihad,27,1997,0.2,0,0,0,0,0,0,0,1,0,,,0,Matches
147,Jorge Filipe Oliveira Fernandes,pt POR,DF,Al-Fateh,27,1997,16.0,4,0,0,14,0,0,1,17,14,,,1,Matches
148,Ezequiél Fernández,ar ARG,MF,Al-Qadsiah,22,2002,29.5,4,0,0,37,43,0,6,34,60,,,0,Matches
149,Diego Ferreira,br BRA,"DF,MF",Al Okhdood SC,21,2003,5.5,1,0,0,6,4,4,16,8,7,,,0,Matches
150,Roberto Firmino,br BRA,MF,Al-Ahli,32,1991,13.4,0,0,0,18,10,6,7,9,14,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
151,Flávio,br BRA,MF,Al-Taawoun,28,1996,9.5,6,1,1,22,9,2,12,14,25,,,0,Matches
152,Seko Fofana,ci CIV,MF,Al-Ettifaq,29,1995,10.6,1,0,0,12,9,0,18,6,13,,,0,Matches
153,Kostas Fortounis,gr GRE,MF,Al-Khaleej,31,1992,28.6,4,0,0,14,65,6,181,7,13,,,0,Matches
154,Mohamed Fouzair,ma MAR,"MF,FW",Al-Raed,32,1991,6.0,1,0,0,7,16,2,11,6,10,,,0,Matches
155,Mohammed Al-Fuhaid,sa KSA,"MF,DF",Al-Fateh,34,1990,7.3,1,0,0,10,11,0,2,7,11,,,0,Matches
156,Galeno,br BRA,MF,Al-Ahli,26,1997,10.5,1,0,0,15,15,2,18,5,7,,,0,Matches
157,Abdulrahman Al Ghamdi,sa KSA,GK,Al-Taawoun,18,2006,1.0,0,0,0,0,0,0,0,0,0,,,0,Matches
