round,wk,day,date,time,home,xg,score,xg_1,away,attendance,venue,referee,match_report,notes
Guardianes 2021 Regular Season,12,Sat,2021-03-20,17:00 (00:00),Atlético,2.0,0–1,1.6,UNAM,,Estadio Alfonso Lastras Ramírez,Marco Antonio Nava,Match Report,
Guardianes 2021 Regular Season,12,Fri,2021-03-19,19:00 (02:00),Necaxa,2.5,1–0,1.1,FC Juárez,4153,Estadio Victoria de Aguascalientes,Óscar Macias,Match Report,
Guardianes 2021 Regular Season,12,Fri,2021-03-19,20:00 (04:00),Mazatlán,0.7,0–1,0.8,América,10159,Estadio de Mazatlán,Diego Montaño,Match Report,
Guardianes 2021 Regular Season,12,Sun,2021-03-21,12:00 (19:00),Toluca,1.8,4–4,3.0,Puebla,,Estadio Nemesio Díez,Luis Santander,Match Report,
Guardianes 2021 Regular Season,12,Sat,2021-03-20,19:00 (02:00),Cruz Azul,1.3,3–2,2.4,Atlas,,Estadio Azteca,Jorge Rojas,Match Report,
Guardianes 2021 Regular Season,12,Sat,2021-03-20,20:06 (04:06),Tijuana,1.2,3–1,0.4,Querétaro,,Estadio Caliente,Fernando Hernández,Match Report,
Guardianes 2021 Regular Season,12,Sun,2021-03-21,19:06 (02:06),Santos,1.3,1–2,2.0,León,,Estadio Nuevo Corona,Oscar Mejia,Match Report,
Guardianes 2021 Regular Season,13,Sat,2021-04-03,17:00 (01:00),Atlas,2.1,1–0,0.4,Tijuana,,Estadio Jalisco,Jorge Pérez,Match Report,
Guardianes 2021 Regular Season,13,Fri,2021-04-02,19:30 (03:30),Puebla,2.0,3–1,0.9,Mazatlán,,Estadio Cuauhtémoc,Eduardo Basulto,Match Report,
Guardianes 2021 Regular Season,13,Fri,2021-04-02,21:30 (05:30),FC Juárez,0.5,0–1,1.0,Cruz Azul,5911,Estadio Olímpico Benito Juárez,César Arturo Ramos,Match Report,
