rk,player,nation,pos,squad,age,born,90s,touches,def_pen,def_3rd,mid_3rd,att_3rd,att_pen,live,att,succ,succ_take_o,tkld,tkld_take_o,carries,totdist,prgdist,prgc,1_3,cpa,mis,dis,rec,prgr,matches
43,Daniel Armando Ríos,mx MEX,FW,Nashville SC,25,1995,4.1,160,1,6,70,87,29,160,10,5,50.0,5,50.0,97,642,239,9,7,5,19,8,114,37,Matches
44,Xavier Arreaga,ec ECU,DF,Seattle Sounders,26,1994,24.0,1322,260,848,463,18,13,1322,20,17,85.0,3,15.0,791,4083,2617,4,2,1,5,4,830,1,Matches
45,Paul Arriola,us USA,"FW,MF",D.C. United,25,1995,15.1,628,8,53,275,304,61,628,40,15,37.5,25,62.5,394,2203,925,40,23,16,35,19,450,110,Matches
46,Artur,br BRA,MF,Columbus Crew,24,1996,4.8,296,18,118,152,30,3,296,6,2,33.3,4,66.7,159,676,225,1,2,0,3,3,199,3,Matches
47,Yamil Asad,ar ARG,"MF,FW",D.C. United,26,1994,7.2,399,7,61,194,152,17,398,10,4,40.0,6,60.0,212,1239,576,12,16,1,26,14,256,45,Matches
48,Dairon Asprilla,co COL,"FW,MF",Portland Timbers,28,1992,23.2,1095,32,172,429,515,100,1094,92,44,47.8,48,52.2,714,4609,2379,82,43,32,83,44,783,216,Matches
49,Isaac Atanga,gh GHA,"FW,MF",FC Cincinnati,20,2000,11.4,318,8,55,124,145,40,318,25,12,48.0,13,52.0,203,1269,645,21,19,8,35,11,215,69,Matches
50,Joshua Atencio,us USA,MF,Seattle Sounders,19,2002,16.8,989,41,268,626,104,3,989,20,16,80.0,4,20.0,536,2534,1105,21,13,0,18,7,605,26,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
51,Jeff Attinella,us USA,GK,Portland Timbers,32,1988,1.9,45,37,45,0,0,0,45,0,0,,0,,22,109,79,0,0,0,0,0,13,0,Matches
52,Eduard Atuesta,co COL,MF,LAFC,23,1997,23.6,2030,45,329,1161,566,29,2029,74,47,63.5,27,36.5,1202,5534,2718,40,49,6,47,39,1355,62,Matches
53,Auro,br BRA,"DF,MF",Toronto FC,25,1996,22.1,1477,72,426,724,338,22,1477,40,22,55.0,18,45.0,790,3557,1928,32,37,5,34,13,856,55,Matches
54,Brandon Austin,eng ENG,GK,Orlando City,22,1999,5.0,122,103,122,0,0,0,122,0,0,,0,,47,239,127,0,0,0,0,0,39,0,Matches
55,Edison Azcona,do DOM,"FW,MF",Inter Miami,17,2003,0.6,38,0,0,19,19,0,38,2,0,0.0,2,100.0,25,184,65,2,4,0,5,2,24,1,Matches
56,Dominique Badji,sn SEN,FW,Nashville SC,28,1992,2.1,75,1,2,33,40,12,75,2,1,50.0,1,50.0,33,209,96,4,2,3,5,2,52,12,Matches
57,Dominique Badji,sn SEN,"FW,MF",Colorado Rapids,28,1992,3.6,113,5,8,54,51,18,113,5,2,40.0,3,60.0,72,378,116,3,2,1,8,4,89,25,Matches
58,Zico Bailey,ph PHI,DF,FC Cincinnati,20,2000,7.6,442,21,167,211,69,12,442,13,8,61.5,5,38.5,257,1212,579,9,5,2,8,1,274,34,Matches
59,Theo Bair,ca CAN,FW,Vancouver W'caps,21,1999,0.3,20,1,3,11,6,4,20,0,0,,0,,8,6,3,0,0,0,3,0,12,4,Matches
60,Corey Baird,us USA,FW,Houston Dynamo,25,1996,4.0,133,5,24,57,55,16,133,9,6,66.7,3,33.3,74,511,244,11,8,8,14,5,86,20,Matches
61,Corey Baird,us USA,FW,LAFC,25,1996,8.3,291,5,22,108,162,36,291,8,5,62.5,3,37.5,171,713,255,11,4,8,25,12,202,68,Matches
62,Mateo Bajamich,ar ARG,"FW,MF",Houston Dynamo,21,1999,1.5,70,1,4,23,43,8,70,4,3,75.0,1,25.0,43,318,150,6,3,3,7,2,47,19,Matches
63,Reed Baker-Whiting,us USA,"MF,FW",Seattle Sounders,15,2005,2.2,87,1,16,48,23,4,87,2,0,0.0,2,100.0,51,197,37,0,0,0,6,0,63,9,Matches
64,Michael Baldisimo,ph PHI,MF,Vancouver W'caps,20,2000,13.9,849,32,220,563,74,0,849,11,7,63.6,4,36.4,509,2243,1024,7,9,0,20,10,621,9,Matches
65,Grayson Barber,us USA,FW,Sporting KC,20,2000,2.4,84,1,7,34,44,7,84,0,0,,0,,60,302,113,5,1,4,4,5,66,25,Matches
66,Esequiel Barco,ar ARG,"FW,MF",Atlanta Utd,21,1999,23.7,1365,2,70,718,607,56,1364,87,65,74.7,22,25.3,968,7666,4128,125,114,23,51,35,1124,140,Matches
67,Tom Barlow,us USA,"FW,MF",NY Red Bulls,25,1995,5.5,223,8,20,77,129,33,223,7,4,57.1,3,42.9,118,494,192,8,3,2,27,12,171,43,Matches
68,Luis Barraza,us USA,GK,NYCFC,24,1996,5.0,142,126,140,2,0,0,142,0,0,,0,,74,249,104,0,0,0,0,0,69,0,Matches
69,Álvaro Barreal,ar ARG,"FW,MF",FC Cincinnati,20,2000,24.5,1174,26,227,525,439,65,1174,87,33,37.9,54,62.1,785,4852,2040,53,54,20,67,22,838,154,Matches
70,Michael Barrios,co COL,"FW,MF",Colorado Rapids,29,1991,23.3,810,3,59,274,491,131,810,72,39,54.2,33,45.8,530,3703,2089,99,43,54,55,31,589,214,Matches
71,Cole Bassett,us USA,"MF,FW",Colorado Rapids,19,2001,24.6,1210,33,159,601,462,87,1209,34,22,64.7,12,35.3,745,3822,2019,69,47,17,62,30,903,134,Matches
72,Zorhan Bassong,ca CAN,DF,CF Montréal,21,1999,13.9,905,50,294,427,198,20,905,32,24,75.0,8,25.0,543,3006,1344,29,29,5,18,5,581,54,Matches
73,Clement Bayiha,ca CAN,DF,CF Montréal,21,1999,3.2,221,7,67,94,63,5,221,13,8,61.5,5,38.5,141,888,457,14,9,2,10,3,126,22,Matches
74,Tanner Beason,us USA,DF,SJ Earthquakes,23,1997,21.4,1237,142,721,464,55,25,1237,3,1,33.3,2,66.7,675,2266,1084,7,8,2,12,2,800,9,Matches
75,Alejandro Bedoya,us USA,MF,Philadelphia Union,33,1987,29.5,1618,46,252,703,670,103,1618,19,9,47.4,10,52.6,867,5131,2399,71,49,12,34,18,1072,211,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
76,Steven Beitashour,ir IRN,DF,Colorado Rapids,33,1987,6.5,321,19,118,132,71,6,321,0,0,,0,,131,524,316,6,4,2,3,1,187,26,Matches
77,Jon Bell,jm JAM,DF,NE Revolution,23,1997,9.1,472,67,241,221,14,10,472,6,4,66.7,2,33.3,229,754,296,0,0,0,1,3,234,0,Matches
