rk,player,nation,pos,squad,age,born,90s,tkl,tklw,def_3rd,mid_3rd,att_3rd,tkl_challe,att,lost,blocks,sh,pass,int,tkl_int,clr,err,matches
135,Oh Jae-suk,kr KOR,DF,Grampus,30,1990,16.1,,32,,,,,,,,,,26,,,,Matches
136,Oh Jae-suk,kr KOR,DF,Gamba Osaka,30,1990,1.0,,1,,,,,,,,,,1,,,,Matches
137,Park Jeong-su,kr KOR,"MF,DF",Sagan Tosu,25,1994,4.2,,3,,,,,,,,,,8,,,,Matches
138,Jesiel,br BRA,DF,Kawa Frontale,25,1994,26.7,,30,,,,,,,,,,70,,,,Matches
139,Kim Jin-hyeon,kr KOR,GK,Cerezo Osaka,32,1987,34.0,,0,,,,,,,,,,0,,,,Matches
140,Calvin Jong-a-Pin,nl NED,DF,Yokohama FC,33,1986,4.5,,1,,,,,,,,,,5,,,,Matches
141,Matej Jonjić,hr CRO,DF,Cerezo Osaka,29,1991,34.0,,23,,,,,,,,,,51,,,,Matches
142,Kim Jung-ya,kr KOR,DF,Vegalta Sendai,31,1988,12.1,,6,,,,,,,,,,6,,,,Matches
143,Edigar Junio,br BRA,"FW,MF",Marinos,28,1991,7.2,,2,,,,,,,,,,2,,,,Matches
144,Marcos Júnior,br BRA,"MF,FW",Marinos,27,1993,20.5,,18,,,,,,,,,,6,,,,Matches
145,Yuki Kagawa,jp JPN,"MF,DF",Oita Trinita,27,1992,13.7,,16,,,,,,,,,,14,,,,Matches
146,Yuji Kajikawa,jp JPN,GK,Marinos,28,1991,17.0,,1,,,,,,,,,,1,,,,Matches
147,Yoichiro Kakitani,jp JPN,"MF,FW",Cerezo Osaka,30,1990,8.5,,2,,,,,,,,,,11,,,,Matches
148,Jiro Kamata,jp JPN,DF,Kashiwa Reysol,34,1985,8.0,,4,,,,,,,,,,15,,,,Matches
149,Yuta Kamiya,jp JPN,MF,Kashiwa Reysol,22,1997,9.2,,5,,,,,,,,,,6,,,,Matches
150,Takashi Kanai,jp JPN,DF,S-Pulse,29,1990,9.6,,4,,,,,,,,,,11,,,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
151,Takeshi Kanamori,jp JPN,"FW,MF",Sagan Tosu,25,1994,10.3,,8,,,,,,,,,,6,,,,Matches
152,Mu Kanazaki,jp JPN,FW,Grampus,30,1989,21.2,,2,,,,,,,,,,5,,,,Matches
153,Daiki Kaneko,jp JPN,MF,Shonan Bellmare,21,1998,26.7,,22,,,,,,,,,,46,,,,Matches
154,Shota Kaneko,jp JPN,MF,S-Pulse,24,1995,19.0,,19,,,,,,,,,,13,,,,Matches
155,Takuro Kaneko,jp JPN,MF,Consa Sapporo,22,1997,16.7,,11,,,,,,,,,,13,,,,Matches
156,Yoshifumi Kashiwa,jp JPN,MF,Sanfrecce,32,1987,15.5,,15,,,,,,,,,,12,,,,Matches
157,Yōsuke Kashiwagi,jp JPN,MF,Urawa Reds,32,1987,7.1,,7,,,,,,,,,,8,,,,Matches
158,Eiichi Katayama,jp JPN,"DF,MF",Cerezo Osaka,28,1991,20.1,,23,,,,,,,,,,36,,,,Matches
159,Hayao Kawabe,jp JPN,MF,Sanfrecce,24,1995,30.5,,33,,,,,,,,,,38,,,,Matches
160,Naoki Kawaguchi,jp JPN,"DF,MF",Kashiwa Reysol,25,1994,6.1,,5,,,,,,,,,,14,,,,Matches
