rk,player,nation,pos,squad,age,born,90s,cmp,att,cmp_total,totdist,prgdist,cmp_short,att_short,cmp_medium,att_medium,cmp_long,att_long,ast,xag,xa,a_xag,kp,1_3,ppa,crspa,prgp,matches
127,Victor Edvardsen,se SWE,"FW,MF",Go Ahead Eag,28,1996,30.4,532,777,68.5,8499,2561,278,364,198,264,39,76,6,6.7,5.6,-0.7,44,49,47,6,93,Matches
128,Espen van Ee,nl NED,MF,Heerenveen,21,2003,24.8,1067,1275,83.7,16413,3474,584,649,389,453,62,103,2,1.1,1.3,+0.9,15,105,11,2,104,Matches
129,Mike Eerdhuijzen,nl NED,DF,Sparta R'dam,24,2000,31.1,1872,2149,87.1,41886,15350,464,509,1061,1134,331,467,0,0.5,1.5,-0.5,14,203,15,2,194,Matches
130,Roshon van Eijma,cw CUW,DF,RKC Waalwijk,26,1998,20.2,786,918,85.6,16014,5730,237,260,455,492,92,151,0,0.0,0.2,0.0,2,45,1,0,46,Matches
131,Carel Eiting,nl NED,MF,Sparta R'dam,26,1998,9.8,248,371,66.8,4254,1474,119,144,94,136,26,61,3,2.0,2.3,+1.0,18,29,11,4,43,Matches
132,Carel Eiting,nl NED,MF,Twente,26,1998,6.5,332,447,74.3,5298,1981,168,193,127,162,23,53,0,2.3,2.1,-2.3,20,41,9,2,52,Matches
133,Hjalmar Ekdal,se SWE,DF,Groningen,25,1998,13.8,639,741,86.2,12039,3962,195,222,400,429,37,74,0,0.0,0.1,0.0,1,23,0,0,38,Matches
134,Úmaro Embaló,pt POR,FW,Fortuna Sittard,23,2001,0.1,0,2,0.0,0,0,0,1,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
135,Noam Emeran,fr FRA,"DF,MF",Groningen,21,2002,1.0,22,42,52.4,419,167,6,13,14,18,2,8,0,0.0,0.1,0.0,0,1,1,1,3,Matches
136,Mario Engels,de GER,"FW,MF",Heracles Almelo,30,1993,24.1,353,508,69.5,5872,1422,174,204,124,181,36,55,4,3.7,3.1,+0.3,26,22,19,10,44,Matches
137,Alonzo Engwanda,be BEL,MF,Utrecht,21,2003,14.1,423,505,83.8,6386,1792,221,243,150,175,26,44,0,0.3,0.3,-0.3,3,32,4,2,46,Matches
138,Ante Erceg,hr CRO,"FW,MF",Fortuna Sittard,34,1989,3.2,49,67,73.1,602,73,27,35,15,19,1,2,0,0.0,0.0,0.0,0,2,0,0,3,Matches
139,Luca Everink,nl NED,DF,Go Ahead Eag,23,2001,1.2,52,57,91.2,808,183,26,27,22,23,2,2,0,0.0,0.1,0.0,1,0,2,0,5,Matches
140,Kevin Felida,cw CUW,"MF,FW",RKC Waalwijk,24,1999,4.8,172,217,79.3,2267,737,97,110,57,76,4,11,0,0.4,0.4,-0.4,2,15,5,2,24,Matches
