rk,player,nation,pos,squad,age,born,90s,cmp,att,cmp_total,totdist,prgdist,cmp_short,att_short,cmp_medium,att_medium,cmp_long,att_long,ast,xag,xa,a_xag,kp,1_3,ppa,crspa,prgp,matches
69,Carlinhos,br BRA,MF,Vitória Setúbal,25,1994,27.0,873,1087,80.3,16332,5266,377,441,349,404,128,195,1,2.2,2.2,-1.2,37,104,11,1,132,Matches
70,Carlos,br BRA,"FW,MF",Santa Clara,23,1995,27.2,377,575,65.6,5686,1649,218,289,120,177,24,55,3,2.5,2.6,+0.5,15,24,12,2,54,Matches
71,Luíz Carlos,br BRA,MF,Paços de Ferreira,34,1985,23.2,747,912,81.9,15581,4319,210,254,403,452,124,170,1,1.5,0.9,-0.5,24,96,10,5,113,Matches
72,João Carlos Teixeira,pt POR,MF,Vitória,26,1993,14.7,348,477,73.0,5967,1908,151,179,140,170,38,79,2,4.2,2.5,-2.2,28,40,27,5,80,Matches
73,David Carmo,ao ANG,DF,Braga,20,1999,16.4,935,1120,83.5,20888,7998,236,270,511,564,184,267,0,0.1,0.2,-0.1,1,91,3,1,84,Matches
74,Carraça,pt POR,"DF,MF",Boavista,26,1993,28.6,907,1325,68.5,17160,7305,398,459,362,511,127,278,3,2.5,2.0,+0.5,32,75,18,14,78,Matches
75,Anderson Carvalho,br BRA,MF,Santa Clara,29,1990,13.0,333,473,70.4,6542,2077,106,133,178,240,46,73,0,0.1,0.1,-0.1,2,38,0,0,50,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp,Att,Cmp,Att,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
76,Eduardo Carvalho,pt POR,GK,Braga,36,1982,4.0,76,121,62.8,2497,2037,5,5,37,37,34,79,0,0.0,0.0,0.0,0,2,0,0,0,Matches
77,Vitor Carvalho,br BRA,"MF,FW",Gil Vicente FC,22,1997,2.5,79,114,69.3,1359,371,35,52,30,43,10,12,0,0.0,0.1,0.0,1,11,0,0,13,Matches
78,Cassiano,br BRA,"FW,MF",Boavista,30,1989,14.4,133,253,52.6,1775,321,78,116,44,93,2,14,0,0.6,0.3,-0.6,13,9,2,0,16,Matches
79,Mateo Cassierra,co COL,FW,B-SAD,22,1997,19.9,372,492,75.6,4922,819,237,287,98,121,15,31,0,1.2,1.1,-1.2,17,19,15,0,45,Matches
80,Adriano Castanheira,pt POR,"FW,MF",Paços de Ferreira,26,1993,11.3,228,329,69.3,3738,1110,113,141,92,124,16,41,2,1.0,0.7,+1.0,11,30,6,1,51,Matches
81,Iury de Castilho,br BRA,"FW,MF",Portimonense,23,1995,5.3,60,82,73.2,946,147,28,37,22,33,6,7,0,0.0,0.2,0.0,1,6,1,1,10,Matches
82,Román Castillo,hn HON,FW,Tondela,27,1991,0.1,2,2,100.0,28,0,1,1,1,1,0,0,0,0.0,0.0,0.0,1,0,0,0,0,Matches
83,Tiago Castro,pt POR,MF,Vitória Setúbal,23,1996,0.8,18,31,58.1,278,56,8,13,8,11,1,2,0,0.0,0.0,0.0,0,2,0,0,4,Matches
84,Tomás Castro,pt POR,MF,B-SAD,20,1999,0.7,10,14,71.4,136,8,4,7,3,3,1,1,0,0.0,0.0,0.0,1,1,0,0,2,Matches
85,Álex Centelles,es ESP,DF,Famalicão,21,1997,19.3,849,1076,78.9,15691,5190,382,426,323,404,125,200,2,2.4,1.4,-0.4,19,71,8,4,73,Matches
86,Franco Cervi,ar ARG,"MF,FW",Benfica,25,1994,17.8,523,701,74.6,7615,1506,299,338,167,217,30,63,1,2.1,2.1,-1.1,16,27,20,4,60,Matches
87,César,br BRA,DF,Santa Clara,26,1992,11.3,442,599,73.8,10886,5044,101,124,222,286,116,174,0,0.1,0.3,-0.1,1,43,6,1,57,Matches
88,Yago César,br BRA,"FW,MF",Paços de Ferreira,22,1997,1.1,15,27,55.6,267,55,8,10,6,10,1,5,0,0.0,0.1,0.0,1,2,1,0,3,Matches
89,José Cevallos Enríquez,ec ECU,MF,Portimonense,24,1995,3.1,58,88,65.9,1019,321,27,36,23,31,6,18,0,0.0,0.1,0.0,0,6,2,1,9,Matches
90,Leonardo Chão,pt POR,MF,Vitória Setúbal,19,1999,0.1,3,3,100.0,42,0,2,2,1,1,0,0,0,0.0,0.0,0.0,1,0,0,0,0,Matches
91,Charles,br BRA,GK,Marítimo,25,1994,9.0,180,279,64.5,4558,3370,50,51,80,80,48,146,0,0.0,0.0,0.0,0,5,0,0,0,Matches
92,Fábio China,pt POR,"DF,MF",Marítimo,27,1992,13.8,421,604,69.7,6973,2996,221,255,161,225,31,81,0,0.4,0.7,-0.4,8,27,7,3,30,Matches
93,Chiquinho,pt POR,"FW,MF",Benfica,24,1995,16.8,505,628,80.4,7353,2078,289,325,151,185,33,56,4,4.5,2.7,-0.5,23,61,19,3,81,Matches
94,Ibrahim Cissé,ci CIV,DF,Famalicão,20,1999,1.0,54,63,85.7,1062,186,10,12,41,44,2,5,0,0.0,0.0,0.0,0,1,0,0,1,Matches
95,Jhon Cley,br BRA,"FW,MF",Marítimo,25,1994,4.6,85,120,70.8,1509,560,36,40,33,45,11,24,1,1.5,1.7,-0.5,9,9,4,2,14,Matches
96,Sebastián Coates,uy URU,DF,Sporting CP,28,1990,28.5,1359,1601,84.9,30175,12264,325,358,811,879,216,338,0,0.9,0.9,-0.9,10,116,11,0,115,Matches
97,Nuno Miguel Prata Coelho,pt POR,DF,B-SAD,31,1987,30.7,1254,1522,82.4,26894,11236,296,346,762,818,185,324,0,2.0,0.6,-2.0,8,78,4,0,97,Matches
98,Racine Coly,sn SEN,DF,Famalicão,23,1995,9.3,427,532,80.3,6991,2408,220,243,174,213,29,55,2,1.1,0.7,+0.9,11,43,5,2,52,Matches
99,Abdu Conté,pt POR,DF,Moreirense,21,1998,21.9,793,1034,76.7,14288,6886,363,417,331,420,89,150,3,1.5,1.1,+1.5,15,79,9,6,72,Matches
100,Leo Cordeiro,br BRA,MF,Gil Vicente FC,23,1995,0.2,13,18,72.2,268,61,2,2,11,13,0,2,0,0.0,0.0,0.0,0,1,0,0,1,Matches
