rk,player,nation,pos,squad,age,born,90s,gls,sh,sot,sot_standa,sh_90,sot_90,g_sh,g_sot,dist,fk,pk,pkatt,xg,npxg,npxg_sh,g_xg,np_g_xg,matches
654,Hugo Silveira,uy URU,FW,Patronato,26,1993,3.0,2,14,6,42.9,4.65,1.99,0.14,0.33,11.0,0,0,0,2.6,2.6,0.19,-0.6,-0.6,Matches
655,Augusto Solari,ar ARG,"MF,DF",Racing Club,27,1992,3.5,1,4,1,25.0,1.15,0.29,0.25,1.00,14.2,0,0,0,1.0,1.0,0.24,0.0,0.0,Matches
656,Franco Soldano,ar ARG,FW,Boca Juniors,24,1994,11.3,2,16,7,43.8,1.42,0.62,0.13,0.29,14.3,0,0,1,2.8,2.0,0.13,-0.8,0.0,Matches
657,Nazareno Solís,ar ARG,"FW,MF",Aldosivi,25,1994,13.4,2,15,4,26.7,1.12,0.30,0.13,0.50,21.6,1,0,0,1.8,1.8,0.12,+0.2,+0.2,Matches
658,Alan Soñora,us USA,MF,Independiente,20,1998,1.1,0,1,0,0.0,0.94,0.00,0.00,,28.5,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
659,Joel Soñora,us USA,"MF,FW",Arsenal,22,1996,6.2,4,12,7,58.3,1.94,1.13,0.33,0.57,22.2,0,0,0,1.3,1.3,0.11,+2.7,+2.7,Matches
660,Jesús Soraire,ar ARG,MF,Arsenal,30,1988,18.2,0,23,4,17.4,1.26,0.22,0.00,0.00,24.5,1,0,0,1.2,1.2,0.05,-1.2,-1.2,Matches
661,Diego Sosa,ar ARG,"MF,FW",Arg Juniors,27,1991,9.7,0,19,4,21.1,1.96,0.41,0.00,0.00,23.9,2,0,0,1.2,1.2,0.06,-1.2,-1.2,Matches
662,Santiago Sosa,ar ARG,MF,River Plate,20,1999,1.8,0,2,0,0.0,1.14,0.00,0.00,,23.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
663,Alexis Soto,ar ARG,DF,Racing Club,25,1993,8.5,0,4,2,50.0,0.47,0.24,0.00,0.00,25.9,1,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
664,Claudio Spinelli,ar ARG,FW,Gimnasia–LP,22,1997,4.1,0,13,4,30.8,3.15,0.97,0.00,0.00,15.3,0,0,0,1.2,1.2,0.09,-1.2,-1.2,Matches
665,Matías Suárez,ar ARG,FW,River Plate,31,1988,16.7,7,56,20,35.7,3.35,1.20,0.13,0.35,15.0,0,0,0,6.5,6.5,0.12,+0.5,+0.5,Matches
666,Cristian Tarragona,ar ARG,"FW,MF",Patronato,28,1991,21.7,9,62,19,30.6,2.86,0.88,0.15,0.47,19.2,0,0,0,7.6,7.6,0.12,+1.4,+1.4,Matches
667,Nahuel Tenaglia,ar ARG,DF,Talleres,23,1996,21.1,2,12,3,25.0,0.57,0.14,0.17,0.67,19.3,0,0,0,1.5,1.5,0.12,+0.5,+0.5,Matches
