rk,player,nation,pos,squad,age,born,mp,starts,min,90s,gls,ast,g_plus_a,g_pk,pk,pkatt,crdy,crdr,xg,npxg,xag,npxg_xag,prgc,prgp,prgr,gls_per90,ast_per90,g_plus_a_per90,g_pk_per90,g_plus_a_pk_per90,xg_per90,xag_per90,xg_xag_per90,npxg_per90,npxg_xag_per90,matches
693,Marcos Vinicios Sorriso,br BRA,"FW,MF",Juventude,19,2001,36,23,2284,25.4,2,2,4,2,0,0,7,0,5.0,5.0,2.4,7.5,66,41,179,0.08,0.08,0.16,0.08,0.16,0.20,0.10,0.29,0.20,0.29,Matches
694,Vinícius,br BRA,"MF,FW",Ceará,29,1991,34,26,2379,26.4,8,2,10,6,2,2,7,0,8.0,6.4,5.5,11.9,33,167,149,0.30,0.08,0.38,0.23,0.30,0.30,0.21,0.51,0.24,0.45,Matches
695,Vinicius,br BRA,"MF,DF",Santos,21,1999,13,4,440,4.9,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,5,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
696,Mateus Vital,br BRA,"FW,MF",Corinthians,22,1998,16,10,890,9.9,0,0,0,0,0,1,1,0,2.3,1.4,0.7,2.1,41,26,86,0.00,0.00,0.00,0.00,0.00,0.23,0.07,0.30,0.14,0.21,Matches
697,Vitinho,br BRA,"MF,FW",Ath Paranaense,21,1999,12,9,810,9.0,2,3,5,2,0,0,3,0,1.5,1.5,1.4,2.9,32,20,80,0.22,0.33,0.56,0.22,0.56,0.17,0.16,0.33,0.17,0.33,Matches
698,Vitinho,br BRA,"MF,FW",Flamengo,27,1993,31,18,1594,17.7,4,8,12,4,0,0,7,0,4.1,4.1,5.8,9.9,74,100,137,0.23,0.45,0.68,0.23,0.68,0.23,0.33,0.56,0.23,0.56,Matches
699,Vitinho,br BRA,"MF,FW",Corinthians,21,2000,22,7,801,8.9,1,2,3,1,0,0,0,0,1.2,1.2,1.7,2.9,14,48,43,0.11,0.22,0.34,0.11,0.34,0.13,0.19,0.32,0.13,0.32,Matches
700,Vitinho,br BRA,MF,RB Bragantino,22,1998,5,3,185,2.1,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,3,15,13,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08,0.08,0.08,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
701,Zé Vitor,br BRA,DF,América (MG),19,2001,3,3,201,2.2,0,0,0,0,0,0,2,0,0.3,0.3,0.1,0.4,3,9,1,0.00,0.00,0.00,0.00,0.00,0.14,0.05,0.19,0.14,0.19,Matches
702,Felipe Vizeu,br BRA,FW,Ceará,23,1997,1,1,64,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
703,Tiago Volpi,br BRA,GK,São Paulo,30,1990,38,38,3420,38.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
704,Wagner,br BRA,DF,Santos,21,1999,16,10,1009,11.2,1,0,1,1,0,0,3,0,0.5,0.5,0.0,0.5,15,47,2,0.09,0.00,0.09,0.09,0.09,0.05,0.00,0.05,0.05,0.05,Matches
705,Wágner,br BRA,"MF,FW",Juventude,36,1985,12,7,509,5.7,2,0,2,2,0,0,2,0,0.7,0.7,0.2,0.9,11,28,29,0.35,0.00,0.35,0.35,0.35,0.13,0.03,0.16,0.13,0.16,Matches
706,Wallace,br BRA,MF,Fluminense,19,2001,1,0,1,0.0,0,1,1,0,0,0,0,0,0.0,0.0,0.1,0.1,1,1,0,0.00,90.00,90.00,0.00,90.00,0.00,8.95,8.95,0.00,8.95,Matches
707,Walter,br BRA,GK,Cuiabá,33,1987,34,34,3060,34.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
