rk,player,nation,pos,squad,age,born,90s,tkl,tklw,def_3rd,mid_3rd,att_3rd,tkl_challe,att,lost,blocks,sh,pass,int,tkl_int,clr,err,matches
156,Mohammed Al-Fuhaid,sa KSA,MF,Al-Fateh,29,1990,19.8,,31,,,,,,,,,,31,,,,Matches
157,Reuben Gabriel,ng NGA,MF,Abha,28,1990,15.4,,21,,,,,,,,,,28,,,,Matches
158,Gegé,cv CPV,DF,Al-Fayha,31,1988,22.6,,7,,,,,,,,,,28,,,,Matches
159,Savvas Gentsoglou,gr GRE,"MF,DF",Al-Adalah,28,1990,11.9,,19,,,,,,,,,,12,,,,Matches
160,Abdullah Al Ghamdi,sa KSA,GK,Damac,29,1990,0.2,,1,,,,,,,,,,0,,,,Matches
161,Abdulrahman Al-Ghamdi,sa KSA,FW,Al-Ittihad,24,1994,0.6,,1,,,,,,,,,,0,,,,Matches
162,Hamed Al-Ghamdi,sa KSA,"MF,FW",Al-Ettifaq,20,1999,7.8,,10,,,,,,,,,,9,,,,Matches
163,Khalid Al-Ghamdi,sa KSA,DF,Al-Faisaly,31,1988,21.0,,40,,,,,,,,,,32,,,,Matches
164,Raed Al-Ghamdi,sa KSA,FW,Al-Raed,25,1994,14.7,,2,,,,,,,,,,1,,,,Matches
165,Sultan Al-Ghanam,sa KSA,DF,Al-Nassr,25,1994,26.7,,24,,,,,,,,,,51,,,,Matches
166,Khalid Al Ghannam,sa KSA,"MF,FW",Al-Nassr,18,2000,4.8,,4,,,,,,,,,,1,,,,Matches
167,Abdulrahman Ghareeb,sa KSA,"MF,FW",Al-Ahli,22,1997,10.0,,6,,,,,,,,,,3,,,,Matches
168,Fahad Ghazi,sa KSA,DF,Al-Ettifaq,25,1994,1.7,,0,,,,,,,,,,3,,,,Matches
169,Fahad Ghazi,sa KSA,"MF,DF",Al-Shabab,25,1994,1.7,,1,,,,,,,,,,2,,,,Matches
170,Khalid Al Ghuwainem,sa KSA,MF,Al-Nassr,20,1999,0.0,,0,,,,,,,,,,0,,,,Matches
171,Leonardo Gil,ar ARG,MF,Al-Ittihad,28,1991,9.4,,3,,,,,,,,,,11,,,,Matches
172,Sebastian Giovinco,it ITA,MF,Al-Hilal,32,1987,19.3,,7,,,,,,,,,,4,,,,Matches
173,Élton José Xavier Gomes,br BRA,MF,Al-Wehda,33,1986,8.2,,0,,,,,,,,,,5,,,,Matches
174,Bafétimbi Gomis,fr FRA,FW,Al-Hilal,33,1985,23.8,,3,,,,,,,,,,1,,,,Matches
175,Craig Goodwin,au AUS,"MF,FW",Al-Wehda,27,1991,28.0,,18,,,,,,,,,,16,,,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
176,Marcelo Grohe,br BRA,GK,Al-Ittihad,32,1987,17.0,,0,,,,,,,,,,0,,,,Matches
177,Cristian Guanca,ar ARG,"MF,FW",Al-Shabab,26,1993,29.0,,14,,,,,,,,,,10,,,,Matches
178,Guilherme,br BRA,MF,Al-Faisaly,24,1995,13.6,,7,,,,,,,,,,22,,,,Matches
