rk,player,nation,pos,squad,age,born,90s,crdy,crdr,2crdy,fls,fld,off,crs,int,tklw,pkwon,pkcon,og,recov,won,lost,won_aerial,matches
88,Matheus Bueno,br BRA,"MF,FW",Coritiba,21,1998,14.6,1,0,0,22,19,0,5,21,16,0,0,0,93,6,14,30.0,Matches
89,Vitor Bueno,br BRA,"FW,MF",São Paulo,25,1994,14.8,2,0,0,10,30,3,28,13,9,0,0,0,72,25,17,59.5,Matches
90,Ariel Cabral,ar ARG,MF,Goiás,32,1987,16.2,5,0,0,29,13,0,4,28,14,0,0,0,89,15,15,50.0,Matches
91,Patric Cabral Lalau,br BRA,DF,Sport Recife,30,1989,36.0,3,1,0,41,40,10,143,44,24,2,0,1,204,25,27,48.1,Matches
92,Jonathan Cafu,br BRA,"FW,MF",Corinthians,28,1991,1.2,0,0,0,3,4,0,2,1,2,0,0,0,5,1,4,20.0,Matches
93,Rodrigo Caio,br BRA,DF,Flamengo,26,1993,18.7,1,0,0,15,12,0,0,14,17,0,0,0,89,70,24,74.5,Matches
94,Caju,br BRA,DF,Goiás,24,1995,10.4,2,0,0,11,8,1,19,22,9,0,0,0,45,19,10,65.5,Matches
95,Calebe,br BRA,"MF,FW",Atlético Mineiro,19,2000,4.3,0,0,0,9,5,0,4,0,5,0,0,0,12,2,5,28.6,Matches
96,Lucas Calegari,br BRA,DF,Fluminense,17,2002,21.6,2,0,0,31,53,1,44,34,31,0,1,0,132,13,28,31.7,Matches
97,Guilherme Camacho,br BRA,MF,Corinthians,29,1990,6.4,2,0,0,24,2,0,2,9,14,0,0,0,35,6,7,46.2,Matches
98,Lucas Campos,br BRA,FW,Botafogo (RJ),22,1997,0.5,0,0,0,0,4,0,0,1,0,0,0,0,1,0,1,0.0,Matches
99,Luan Cândido,br BRA,DF,RB Bragantino,18,2001,6.7,3,0,0,17,6,1,21,14,7,0,0,0,31,28,11,71.8,Matches
100,Fernando Canesin,br BRA,"MF,FW",Ath Paranaense,27,1992,8.4,3,0,0,16,9,1,11,6,10,0,0,0,34,5,7,41.7,Matches
