rk,player,nation,pos,squad,age,born,90s,gls,sh,sot,sot_standa,sh_90,sot_90,g_sh,g_sot,dist,fk,pk,pkatt,xg,npxg,npxg_sh,g_xg,np_g_xg,matches
67,Fabrício Biato,br BRA,FW,Palmeiras,18,2001,1.2,0,1,0,0.0,0.84,0.00,0.00,,35.7,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
68,Guilherme Biro,br BRA,DF,Coritiba,19,2000,7.2,0,3,1,33.3,0.42,0.14,0.00,0.00,15.1,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
69,Guilherme Bissoli,br BRA,FW,Ath Paranaense,22,1998,6.0,0,13,5,38.5,2.15,0.83,0.00,0.00,17.3,1,0,0,1.0,1.0,0.08,-1.0,-1.0,Matches
70,Gustavo Blanco,br BRA,"FW,MF",Goiás,25,1994,1.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
71,Paulinho Bóia,br BRA,"FW,DF",São Paulo,21,1998,5.6,0,14,4,28.6,2.49,0.71,0.00,0.00,22.8,0,0,0,0.8,0.8,0.06,-0.8,-0.8,Matches
72,Dani Bolt,br BRA,DF,Fluminense,20,1999,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
73,Leonardo Borges,br BRA,DF,Internacional,19,2001,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
74,Marllon Borges,br BRA,DF,Corinthians,27,1992,6.7,0,3,1,33.3,0.45,0.15,0.00,0.00,6.2,0,0,0,0.7,0.7,0.22,-0.7,-0.7,Matches
75,Neto Borges,br BRA,"DF,MF",Vasco da Gama,23,1996,11.2,0,7,2,28.6,0.62,0.18,0.00,0.00,24.3,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
76,Dylan Borrero,co COL,MF,Atlético Mineiro,18,2002,1.6,0,1,0,0.0,0.64,0.00,0.00,,34.6,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
77,Gabriel Boschilia,br BRA,"MF,FW",Internacional,23,1996,9.5,1,19,9,47.4,2.00,0.95,0.05,0.11,28.0,3,0,0,1.1,1.1,0.06,-0.1,-0.1,Matches
78,Mauro Boselli,ar ARG,"FW,MF",Corinthians,34,1985,2.2,0,4,0,0.0,1.81,0.00,0.00,,13.7,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
79,Lucas Braga,br BRA,"FW,MF",Santos,23,1996,22.9,2,15,6,40.0,0.65,0.26,0.13,0.33,14.4,0,0,0,2.4,2.4,0.16,-0.4,-0.4,Matches
80,Júnior Brandão,br BRA,FW,Atl Goianiense,25,1995,1.9,0,7,2,28.6,3.75,1.07,0.00,0.00,20.0,0,0,0,1.1,1.1,0.15,-1.1,-1.1,Matches
81,David Braz,br BRA,DF,Grêmio,32,1987,16.0,2,13,4,30.8,0.81,0.25,0.15,0.50,18.9,1,0,0,1.4,1.4,0.11,+0.6,+0.6,Matches
82,Brenner,br BRA,FW,São Paulo,20,2000,21.2,11,67,27,40.3,3.16,1.27,0.16,0.41,14.1,0,0,0,11.6,11.6,0.18,-0.6,-0.6,Matches
83,Breno,br BRA,MF,Goiás,19,2000,24.3,0,12,3,25.0,0.49,0.12,0.00,0.00,26.4,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
