rk,player,nation,pos,squad,age,born,90s,touches,def_pen,def_3rd,mid_3rd,att_3rd,att_pen,live,att,succ,succ_take_o,tkld,tkld_take_o,carries,totdist,prgdist,prgc,1_3,cpa,mis,dis,rec,prgr,matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
501,André Seruca,pt POR,"MF,DF",Farense,23,2000,0.2,6,0,3,1,2,1,6,0,0,,0,,0,0,0,0,0,0,0,0,1,0,Matches
502,Naziru Shuabiu,ng NGA,FW,Rio Ave,20,2004,0.0,2,0,0,1,1,0,2,0,0,,0,,1,17,11,1,0,0,0,0,0,0,Matches
503,Sidney,br BRA,DF,Santa Clara,27,1997,26.5,1538,108,672,762,125,23,1538,14,8,57.1,3,21.4,748,3484,1971,23,23,0,11,5,868,14,Matches
504,Alysson Silva,br BRA,DF,Santa Clara,21,2002,1.8,125,5,53,71,2,0,125,1,0,0.0,1,100.0,95,411,261,0,1,0,2,0,97,0,Matches
505,António Silva,pt POR,DF,Benfica,20,2003,22.6,1591,142,728,792,75,23,1591,4,2,50.0,1,25.0,1008,5616,3352,32,22,1,11,1,1098,1,Matches
506,Gustavo da Silva,br BRA,FW,Vitória,25,1999,9.7,333,15,51,96,192,52,333,25,6,24.0,18,72.0,192,1156,590,25,17,10,29,10,214,74,Matches
507,Joel silva,pt POR,"MF,DF",Boavista,21,2003,26.6,1272,52,302,652,330,30,1272,37,15,40.5,20,54.1,613,2764,1294,32,22,4,35,21,677,79,Matches
508,José Silva,pt POR,DF,Sporting CP,18,2005,0.1,8,0,2,3,3,2,8,1,0,0.0,1,100.0,4,7,0,0,0,0,0,1,2,0,Matches
509,Luís Manuel Costa Silva,pt POR,MF,AVS Futebol,31,1992,5.2,216,15,41,140,36,5,216,2,1,50.0,1,50.0,115,363,148,2,3,0,6,5,140,5,Matches
510,Raul Silva,br BRA,DF,Farense,34,1989,5.3,221,32,120,79,24,8,221,1,0,0.0,1,100.0,98,519,323,6,4,0,2,0,132,6,Matches
511,Rui Silva,pt POR,GK,Sporting CP,30,1994,17.0,407,340,401,6,0,0,407,0,0,,0,,225,940,504,0,0,0,0,0,164,0,Matches
512,Tiago Silva,pt POR,MF,Vitória,31,1993,25.8,2195,39,404,1375,439,9,2192,43,23,53.5,16,37.2,1260,5825,2635,20,19,1,32,13,1540,38,Matches
513,Tomás Silva,pt POR,"DF,MF",Boavista,18,2006,1.0,39,3,18,15,6,2,39,0,0,,0,,14,35,16,2,0,2,1,1,21,3,Matches
514,David Simão,pt POR,MF,Arouca,34,1990,19.7,1400,44,336,845,227,2,1400,15,11,73.3,2,13.3,768,2943,1422,10,13,0,16,18,946,34,Matches
