wk,day,date,time,home,score,away,attendance,venue,referee,match_report,notes
17,Sat,2021-02-06,16:00 (14:00),Damac,2–2,Al-Qadsiah,27,Prince Sultan bin Abdul Aziz Stadium,Mohammed Zafar Al Qarni,Match Report,
17,Sat,2021-02-06,18:20 (16:20),Al-Shabab,4–1,Al-Raed,35,Prince Khalid bin Sultan Stadium,Shukri Hussein Al Hunfush,Match Report,
16,Tue,2021-02-09,16:05 (14:05),Al-Ain,0–5,Al-Hilal,15,King Saud Sport City Stadium,Abdullah Saleh Al Harbi,Match Report,
16,Tue,2021-02-09,18:10 (16:10),Al-Fateh,1–1,Al-Nassr,14,Prince Abdullah bin Jalawi Stadium,Khalid Saleh Al Turais,Match Report,
18,Thu,2021-02-11,18:05 (16:05),Al-Ettifaq,4–1,Abha,5,Prince Saud bin Jalawi Stadium,Faisal Suleiman Al Balawi,Match Report,
18,Thu,2021-02-11,20:20 (18:20),Al-Ahli,1–1,Al-Ittihad,15,King Abdullah Sports City Reserve Stadiu...,Mohammed Khaled Al Hoish,Match Report,
18,Fri,2021-02-12,15:45 (13:45),Al-Faisaly,2–4,Al-Wehda,10,Al Majma'ah Sport City,Mohammed Saif Al Harbi,Match Report,
18,Fri,2021-02-12,18:30 (16:30),Al-Raed,1–2,Al-Batin,13,Prince Abdullah bin Abdul Aziz Stadium,Raed Ali Al Zahrani,Match Report,
18,Sat,2021-02-13,15:50 (13:50),Al-Taawoun,0–2,Al-Qadsiah,9,Prince Abdullah bin Abdul Aziz Stadium,Khalid Ahmed Sahlawi,Match Report,
18,Sat,2021-02-13,18:10 (16:10),Al-Fateh,3–2,Al-Ain,15,Prince Abdullah bin Jalawi Stadium,Majed Mohammed Al Shamrani,Match Report,
18,Sat,2021-02-13,20:20 (18:20),Al-Nassr,0–4,Al-Shabab,15,Mrsool Park,Turki Mohammed Al Khudayr,Match Report,
18,Sun,2021-02-14,16:05 (14:05),Damac,1–0,Al-Hilal,15,Prince Sultan bin Abdul Aziz Stadium,Khalid Saleh Al Turais,Match Report,
19,Wed,2021-02-17,15:55 (13:55),Al-Raed,1–3,Al-Wehda,,Prince Abdullah bin Abdul Aziz Stadium,Majed Mohammed Al Shamrani,Match Report,
19,Wed,2021-02-17,16:05 (14:05),Abha,1–2,Al-Batin,15,Prince Sultan bin Abdul Aziz Stadium,Khaled Suleiman Al Juhani,Match Report,
19,Wed,2021-02-17,18:25 (16:25),Al-Shabab,1–2,Al-Fateh,15,Prince Khalid bin Sultan Stadium,Mohammed Saif Al Harbi,Match Report,
19,Wed,2021-02-17,20:20 (18:20),Al-Ahli,1–1,Al-Ain,12,King Abdullah Sports City,Mohammed Sami Al Ismail,Match Report,
19,Thu,2021-02-18,15:50 (13:50),Al-Faisaly,2–0,Damac,15,Al Majma'ah Sport City,Mohammed Abdulrahman Al Baridi,Match Report,
19,Thu,2021-02-18,15:55 (13:55),Al-Taawoun,1–2,Al-Ittihad,9,Prince Abdullah bin Abdul Aziz Stadium,Mohammed Zafar Al Qarni,Match Report,
19,Thu,2021-02-18,18:10 (16:10),Al-Qadsiah,1–0,Al-Nassr,15,Prince Saud bin Jalawi Stadium,Faisal Suleiman Al Balawi,Match Report,
19,Thu,2021-02-18,20:20 (18:20),Al-Hilal,3–1,Al-Ettifaq,10,Prince Faisal bin Fahd Stadium,Maguette Ndiaye,Match Report,
20,Mon,2021-02-22,16:10 (14:10),Abha,0–3,Al-Raed,8,Prince Sultan bin Abdul Aziz Stadium,Sultan Sanat Al Harbi,Match Report,
20,Mon,2021-02-22,19:00 (17:00),Al-Wehda,0–2,Al-Taawoun,7,King Abdul Aziz Stadium,Faisal Suleiman Al Balawi,Match Report,
20,Mon,2021-02-22,20:35 (18:35),Al-Shabab,3–0,Al-Ahli,8,Prince Khalid bin Sultan Stadium,Majed Mohammed Al Shamrani,Match Report,
Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
20,Tue,2021-02-23,15:45 (13:45),Al-Batin,2–2,Al-Qadsiah,6,Al-Batin FC Stadium,Shukri Hussein Al Hunfush,Match Report,
20,Tue,2021-02-23,16:10 (14:10),Al-Ain,1–1,Damac,10,King Saud Sport City Stadium,Mohammed Khaled Al Hoish,Match Report,
20,Tue,2021-02-23,18:20 (16:20),Al-Fateh,2–3,Al-Ettifaq,13,Prince Abdullah bin Jalawi Stadium,Turki Mohammed Al Khudayr,Match Report,
20,Tue,2021-02-23,19:00 (17:00),Al-Ittihad,1–3,Al-Faisaly,9,King Abdullah Sports City,Khalid Saleh Al Turais,Match Report,
20,Tue,2021-02-23,20:35 (18:35),Al-Nassr,1–0,Al-Hilal,20,Mrsool Park,Esteban Ostojich,Match Report,
21,Sat,2021-02-27,15:50 (13:50),Al-Batin,3–0,Al-Wehda,3,Al-Batin FC Stadium,Abdullah Saleh Al Harbi,Match Report,
21,Sat,2021-02-27,18:15 (16:15),Al-Ettifaq,0–3,Al-Taawoun,12,Prince Mohamed bin Fahd Stadium,Mohammed Sami Al Ismail,Match Report,
21,Sat,2021-02-27,20:30 (18:30),Al-Faisaly,2–1,Al-Ahli,15,Al Majma'ah Sport City,Ahmed Mohammed Al Rumaikhani,Match Report,
21,Sun,2021-02-28,16:00 (14:00),Al-Raed,4–0,Al-Ain,12,Prince Abdullah bin Abdul Aziz Stadium,Abdullah Zafer Al Shehri,Match Report,
21,Sun,2021-02-28,18:15 (16:15),Al-Qadsiah,1–4,Al-Ittihad,15,Prince Saud bin Jalawi Stadium,Mohammed Saif Al Harbi,Match Report,
21,Sun,2021-02-28,18:20 (16:20),Al-Fateh,2–5,Al-Hilal,13,Prince Abdullah bin Jalawi Stadium,Khalid Ahmed Sahlawi,Match Report,
