rk,player,nation,pos,squad,age,born,90s,tkl,tklw,def_3rd,mid_3rd,att_3rd,tkl_challe,att,lost,blocks,sh,pass,int,tkl_int,clr,err,matches
121,Mark Diemers,nl NED,"MF,FW",Fortuna Sittard,25,1993,25.8,39,21,10,21,8,15,47,32,18,1,17,12,51,13,1,Matches
122,Stan van Dijck,nl NED,"MF,DF",VVV-Venlo,18,2000,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
123,Ritsu Doan,jp JPN,"MF,FW",Groningen,21,1998,2.0,1,1,1,0,0,1,3,2,4,0,4,2,3,1,0,Matches
124,Ritsu Doan,jp JPN,"FW,MF",PSV Eindhoven,21,1998,11.4,27,19,11,8,8,8,31,23,16,2,14,11,38,13,0,Matches
125,Danilho Doekhi,nl NED,DF,Vitesse,21,1998,26.0,25,18,19,6,0,11,15,4,23,20,3,33,58,127,1,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
126,Kasper Dolberg,dk DEN,FW,Ajax,21,1997,0.9,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Matches
127,Jacky Donkor,be BEL,FW,Fortuna Sittard,20,1998,0.2,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,Matches
128,Dabney dos Santos,nl NED,FW,Heracles Almelo,23,1996,8.5,13,8,5,8,0,6,12,6,10,1,9,7,20,1,0,Matches
129,Marc-Olivier Doué,fr FRA,DF,Zwolle,18,2000,0.0,0,0,0,0,0,0,0,0,1,0,1,2,2,0,0,Matches
130,Ibrahim Drešević,xk KVX,DF,Heerenveen,22,1997,26.0,42,30,30,12,0,27,45,18,29,20,9,41,83,94,6,Matches
131,Anders Dreyer,dk DEN,"FW,MF",Heerenveen,21,1998,2.6,4,4,0,3,1,3,6,3,1,0,1,2,6,6,0,Matches
132,Joel Drommel,nl NED,GK,Twente,22,1996,24.2,2,1,2,0,0,2,4,2,0,0,0,3,5,13,4,Matches
133,Henrico Drost,nl NED,DF,RKC Waalwijk,32,1987,2.5,2,1,2,0,0,1,1,0,3,2,1,6,8,7,1,Matches
134,Ferdy Druijf,nl NED,"FW,MF",AZ Alkmaar,21,1998,2.6,1,1,0,0,1,0,1,1,0,0,0,1,2,1,0,Matches
135,Deroy Duarte,cv CPV,MF,Sparta R'dam,20,1999,5.0,16,8,7,7,2,9,14,5,7,1,6,14,30,7,0,Matches
136,Laros Duarte,cv CPV,MF,Sparta R'dam,22,1997,8.0,12,8,6,6,0,6,21,15,6,0,6,14,26,13,0,Matches
137,Mark Duffy,eng ENG,"MF,FW",ADO Den Haag,33,1985,2.0,3,2,0,1,2,1,7,6,2,0,2,0,3,2,0,Matches
138,Mike van Duinen,nl NED,FW,Zwolle,27,1991,8.8,6,3,3,3,0,1,7,6,12,1,11,5,11,7,0,Matches
139,Denzel Dumfries,nl NED,DF,PSV Eindhoven,23,1996,24.9,46,29,27,14,5,28,44,16,34,10,24,27,73,60,1,Matches
140,Carel Eiting,nl NED,MF,Ajax,21,1998,4.0,7,2,2,3,2,4,7,3,4,0,4,5,12,2,0,Matches
141,Chidera Ejuke,ng NGA,"FW,MF",Heerenveen,21,1998,22.8,24,18,9,13,2,7,25,18,8,1,7,14,38,5,0,Matches
142,Jurgen Ekkelenkamp,nl NED,MF,Ajax,19,2000,1.5,1,0,0,0,1,0,0,0,1,0,1,0,1,2,0,Matches
143,Stanley Elbers,nl NED,"FW,MF",RKC Waalwijk,27,1992,8.5,10,4,6,4,0,2,12,10,14,2,12,4,14,7,0,Matches
144,Stanley Elbers,nl NED,FW,Zwolle,27,1992,0.8,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,Matches
145,Urby Emanuelson,nl NED,"MF,DF",Utrecht,33,1986,6.4,11,5,5,3,3,2,7,5,8,6,2,9,20,16,1,Matches
146,Runar Espejord,no NOR,"FW,MF",Heerenveen,23,1996,1.4,3,1,0,1,2,2,2,0,2,0,2,0,3,2,0,Matches
147,Javier Espinosa,es ESP,"MF,FW",Twente,26,1992,16.3,33,19,12,16,5,12,33,21,18,2,16,11,44,3,1,Matches
148,Clint Essers,nl NED,DF,Fortuna Sittard,22,1997,12.5,34,22,22,8,4,19,41,22,14,3,11,18,52,38,2,Matches
149,Håkon Evjen,no NOR,MF,AZ Alkmaar,19,2000,1.2,6,5,0,5,1,2,6,4,4,0,4,1,7,0,0,Matches
150,Milan van Ewijk,nl NED,DF,ADO Den Haag,18,2000,11.2,22,16,15,7,0,7,16,9,5,0,5,11,33,20,1,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
151,Hicham Faik,nl NED,MF,Heerenveen,27,1992,24.4,48,32,21,23,4,15,40,25,28,5,23,39,87,42,1,Matches
152,Erik Falkenburg,nl NED,"FW,MF",ADO Den Haag,31,1988,10.5,8,4,5,1,2,4,16,12,9,2,7,1,9,16,0,Matches
153,Lassana Faye,nl NED,DF,Sparta R'dam,21,1998,22.4,32,19,18,12,2,18,30,12,21,8,13,13,45,47,0,Matches
154,Leroy Fer,nl NED,MF,Feyenoord,29,1990,21.9,36,19,15,17,4,16,33,17,22,5,17,25,61,27,1,Matches
155,Leandro Fernandes,nl NED,MF,Fortuna Sittard,19,1999,1.4,1,1,0,1,0,0,1,1,2,0,2,2,3,3,0,Matches
156,Zian Flemming,nl NED,"MF,FW",Zwolle,20,1998,2.4,4,3,3,0,1,2,2,0,5,0,5,2,6,7,0,Matches
