rk,player,nation,pos,squad,age,born,90s,gls,sh,sot,sot_standa,sh_90,sot_90,g_sh,g_sot,dist,fk,pk,pkatt,xg,npxg,npxg_sh,g_xg,np_g_xg,matches
584,Jawad El Yamiq,ma MAR,DF,Genoa,27,1992,2.2,0,2,0,0.0,0.91,0.00,0.00,,20.8,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
585,Maya Yoshida,jp JPN,DF,Sampdoria,30,1988,13.2,0,6,1,16.7,0.45,0.08,0.00,0.00,15.0,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
586,Amin Younes,de GER,"FW,MF",Napoli,25,1993,2.0,1,7,1,14.3,3.58,0.51,0.14,1.00,17.6,0,0,0,0.7,0.7,0.10,+0.3,+0.3,Matches
587,Ashley Young,eng ENG,DF,Inter,34,1985,13.2,4,15,9,60.0,1.14,0.68,0.27,0.44,19.5,0,0,0,0.9,0.9,0.06,+3.1,+3.1,Matches
588,Mattia Zaccagni,it ITA,"MF,FW",Hellas Verona,24,1995,23.5,2,27,8,29.6,1.15,0.34,0.07,0.25,16.3,0,0,0,4.0,4.0,0.15,-2.0,-2.0,Matches
589,Luca Zanimacchia,it ITA,"FW,MF",Juventus,21,1998,1.3,0,2,1,50.0,1.50,0.75,0.00,0.00,29.1,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
590,Nicolò Zaniolo,it ITA,"FW,MF",Roma,20,1999,16.7,6,46,21,45.7,2.75,1.26,0.13,0.29,18.6,0,0,0,3.6,3.6,0.08,+2.4,+2.4,Matches
591,Cristián Zapata,co COL,DF,Genoa,32,1986,19.1,1,12,2,16.7,0.63,0.10,0.08,0.50,11.9,0,0,0,0.8,0.8,0.06,+0.2,+0.2,Matches
592,Duván Zapata,co COL,FW,Atalanta,28,1991,22.5,18,88,36,40.9,3.91,1.60,0.19,0.47,12.8,0,1,1,15.6,14.8,0.17,+2.4,+2.2,Matches
593,Davide Zappacosta,it ITA,DF,Roma,27,1992,5.0,0,4,0,0.0,0.80,0.00,0.00,,15.7,0,0,0,0.6,0.6,0.16,-0.6,-0.6,Matches
594,Simone Zaza,it ITA,FW,Torino,28,1991,18.2,6,48,22,45.8,2.63,1.21,0.13,0.27,15.1,2,0,0,5.8,5.8,0.12,+0.2,+0.2,Matches
595,Marvin Zeegelaar,nl NED,DF,Udinese,28,1990,6.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
596,Piotr Zieliński,pl POL,MF,Napoli,25,1994,32.5,2,78,22,28.2,2.40,0.68,0.03,0.09,24.3,0,0,0,4.1,4.1,0.05,-2.1,-2.1,Matches
597,Jaromír Zmrhal,cz CZE,MF,Brescia,25,1993,12.5,2,14,7,50.0,1.12,0.56,0.14,0.29,16.6,2,0,0,1.1,1.1,0.08,+0.9,+0.9,Matches
598,Ervin Zukanović,ba BIH,DF,SPAL,32,1987,2.3,0,2,0,0.0,0.88,0.00,0.00,,33.2,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
599,Szymon Żurkowski,pl POL,MF,Fiorentina,21,1997,0.1,0,1,0,0.0,7.50,0.00,0.00,,14.2,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
600,Filip Đuričić,rs SRB,"MF,FW",Sassuolo,27,1992,18.1,5,42,9,21.4,2.31,0.50,0.12,0.56,20.1,2,0,0,3.0,3.0,0.07,+2.0,+2.0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
