rk,player,nation,pos,squad,age,born,mp,starts,min,90s,gls,ast,g_plus_a,g_pk,pk,pkatt,crdy,crdr,xg,npxg,xag,npxg_xag,prgc,prgp,prgr,gls_per90,ast_per90,g_plus_a_per90,g_pk_per90,g_plus_a_pk_per90,xg_per90,xag_per90,xg_xag_per90,npxg_per90,npxg_xag_per90,matches
551,Sandro Tonali,it ITA,MF,Brescia,19,2000,35,34,3014,33.5,1,7,8,1,0,0,9,0,1.2,1.2,6.3,7.5,45,181,38,0.03,0.21,0.24,0.03,0.24,0.04,0.19,0.22,0.04,0.22,Matches
552,Lorenzo Tonelli,it ITA,DF,Sampdoria,29,1990,9,9,702,7.8,0,0,0,0,0,0,4,0,0.2,0.2,0.0,0.2,3,32,0,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
553,Ernesto Torregrossa,ve VEN,FW,Brescia,27,1992,25,22,1844,20.5,7,3,10,5,2,2,8,0,8.1,6.6,2.9,9.5,36,45,154,0.34,0.15,0.49,0.24,0.39,0.40,0.14,0.54,0.32,0.46,Matches
554,Luca Tremolada,it ITA,MF,Brescia,27,1991,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
555,Alessandro Tripaldelli,it ITA,DF,Sassuolo,20,1999,2,1,135,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,3,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
556,William Troost-Ekong,ng NGA,DF,Udinese,25,1993,30,29,2576,28.6,0,0,0,0,0,0,5,0,0.8,0.8,0.1,0.9,10,52,1,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
557,Georgi Tunjov,ee EST,MF,SPAL,18,2001,10,3,284,3.2,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,2,7,16,0.00,0.00,0.00,0.00,0.00,0.09,0.04,0.12,0.09,0.12,Matches
558,Stefano Turati,it ITA,GK,Sassuolo,17,2001,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
559,Gennaro Tutino,it ITA,"FW,MF",Hellas Verona,22,1996,6,2,225,2.5,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,7,6,12,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.10,0.10,0.10,Matches
560,Samir Ujkani,xk KVX,GK,Torino,31,1988,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
561,Cengiz Ünder,tr TUR,FW,Roma,22,1997,18,10,873,9.7,3,0,3,3,0,0,2,0,2.0,2.0,2.6,4.6,46,41,101,0.31,0.00,0.31,0.31,0.31,0.20,0.27,0.47,0.20,0.47,Matches
562,Mirko Valdifiori,it ITA,MF,SPAL,33,1986,22,15,1400,15.6,0,3,3,0,0,0,5,0,0.1,0.1,2.4,2.5,15,88,11,0.00,0.19,0.19,0.00,0.19,0.01,0.15,0.16,0.01,0.16,Matches
563,Borja Valero,es ESP,MF,Inter,34,1985,19,9,931,10.3,2,0,2,2,0,0,4,0,1.8,1.8,1.3,3.1,31,68,35,0.19,0.00,0.19,0.19,0.19,0.18,0.13,0.30,0.18,0.30,Matches
564,Mattia Valoti,it ITA,"MF,FW",SPAL,25,1993,27,18,1527,17.0,3,1,4,3,0,0,7,0,3.3,3.3,1.3,4.6,35,63,64,0.18,0.06,0.24,0.18,0.24,0.19,0.08,0.27,0.19,0.27,Matches
565,Denis Vavro,sk SVK,DF,Lazio,23,1996,11,1,328,3.6,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,14,0,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches
566,Matías Vecino,uy URU,MF,Inter,27,1991,20,14,1282,14.2,2,2,4,2,0,0,4,0,3.5,3.5,1.1,4.6,27,61,87,0.14,0.14,0.28,0.14,0.28,0.24,0.08,0.32,0.24,0.32,Matches
567,Miguel Veloso,pt POR,MF,Hellas Verona,33,1986,34,32,2811,31.2,3,4,7,3,0,0,6,0,2.1,2.1,4.9,7.0,71,215,35,0.10,0.13,0.22,0.10,0.22,0.07,0.16,0.22,0.07,0.22,Matches
568,Lorenzo Venuti,it ITA,"DF,MF",Fiorentina,24,1995,16,10,858,9.5,0,1,1,0,0,0,4,0,0.2,0.2,0.8,1.0,28,40,32,0.00,0.10,0.10,0.00,0.10,0.02,0.08,0.10,0.02,0.10,Matches
569,Brayan Vera,co COL,"DF,FW",Lecce,20,1999,8,1,155,1.7,0,1,1,0,0,0,0,0,0.1,0.1,0.2,0.3,2,4,17,0.00,0.58,0.58,0.00,0.58,0.08,0.12,0.20,0.08,0.20,Matches
570,Simone Verdi,it ITA,"MF,FW",Torino,27,1992,33,26,2073,23.0,2,6,8,2,0,0,4,0,3.7,3.7,3.9,7.6,58,90,117,0.09,0.26,0.35,0.09,0.35,0.16,0.17,0.33,0.16,0.33,Matches
571,Jordan Veretout,fr FRA,MF,Roma,26,1993,33,30,2629,29.2,6,0,6,1,5,5,6,0,4.9,1.0,2.8,3.7,50,207,51,0.21,0.00,0.21,0.03,0.03,0.17,0.09,0.26,0.03,0.13,Matches
572,Valerio Verre,it ITA,"MF,FW",Hellas Verona,25,1994,32,22,1774,19.7,3,2,5,1,2,2,4,0,5.8,4.3,2.6,6.9,55,88,140,0.15,0.10,0.25,0.05,0.15,0.30,0.13,0.43,0.22,0.35,Matches
