rk,player,nation,pos,squad,age,born,90s,tkl,tklw,def_3rd,mid_3rd,att_3rd,tkl_challe,att,lost,blocks,sh,pass,int,tkl_int,clr,err,matches
160,Carlos Gruezo,ec ECU,MF,Augsburg,24,1995,9.8,28,12,12,15,1,5,24,19,5,0,5,6,34,5,0,Matches
161,Marko Grujić,rs SRB,MF,Hertha BSC,23,1996,26.8,56,34,21,30,5,19,63,44,43,9,34,22,78,69,0,Matches
162,Raphaël Guerreiro,pt POR,"DF,MF",Dortmund,25,1993,25.9,44,24,18,21,5,20,32,12,27,3,24,42,86,26,0,Matches
163,Babacar Guèye,sn SEN,FW,Paderborn 07,24,1994,1.2,2,0,0,0,2,0,1,1,1,1,0,0,2,3,0,Matches
164,Josuha Guilavogui,fr FRA,"MF,DF",Wolfsburg,28,1990,22.9,41,26,17,23,1,10,30,20,35,9,26,45,86,64,2,Matches
165,Péter Gulácsi,hu HUN,GK,RB Leipzig,29,1990,32.0,0,0,0,0,0,0,0,0,0,0,0,1,1,18,6,Matches
166,Manuel Gulde,de GER,DF,Freiburg,28,1991,15.2,28,16,17,9,2,15,24,9,23,13,10,22,50,80,1,Matches
167,Christian Günter,de GER,DF,Freiburg,26,1993,33.7,25,11,17,7,1,12,35,23,29,13,16,14,39,40,0,Matches
168,Jonathan de Guzmán,nl NED,MF,Eint Frankfurt,31,1987,1.0,1,1,0,1,0,1,7,6,2,0,2,1,2,0,0,Matches
169,Erling Haaland,no NOR,FW,Dortmund,19,2000,11.8,4,2,1,0,3,0,4,4,7,4,3,4,8,4,0,Matches
170,Janik Haberer,de GER,"MF,FW",Freiburg,25,1994,19.1,26,18,8,14,4,12,45,33,25,4,21,25,51,23,0,Matches
171,Alexander Hack,de GER,DF,Mainz 05,25,1993,8.9,26,10,19,6,1,16,27,11,20,9,11,23,49,60,1,Matches
172,André Hahn,de GER,"FW,MF",Augsburg,28,1990,7.8,15,9,7,5,3,5,21,16,23,5,18,13,28,14,0,Matches
173,Amadou Haidara,ml MLI,MF,RB Leipzig,21,1998,8.4,26,16,7,17,2,10,24,14,14,2,12,8,34,10,1,Matches
174,Achraf Hakimi,ma MAR,"DF,MF",Dortmund,20,1998,30.2,60,41,38,14,8,27,64,37,26,2,24,30,90,27,2,Matches
